time,z_mid,alpha_m-1
3.7,6.662516,-2.051840e-02
3.7,7.137521,-1.769157e-02
3.7,7.612525,-1.502857e-02
3.7,8.087530,-1.312478e-02
3.7,8.562535,-1.321686e-02
3.7,9.037539,-1.518675e-02
3.7,9.512544,-1.384502e-02
3.8,0.487456,-9.993239e-02
3.8,0.962461,-1.462353e-01
3.8,1.437465,-9.877509e-02
3.8,1.912470,-9.325121e-02
3.8,2.387475,-6.007836e-02
3.8,2.862479,-5.304309e-02
3.8,3.337484,-4.312536e-02
3.8,3.812489,-3.967850e-02
3.8,4.287493,-3.371277e-02
3.8,4.762498,-3.027388e-02
3.8,5.237502,-2.841379e-02
3.8,5.712507,-2.644944e-02
3.8,6.187512,-2.305479e-02
3.8,6.662516,-2.005901e-02
3.8,7.137521,-1.765774e-02
3.8,7.612525,-1.510929e-02
3.8,8.087530,-1.316190e-02
3.8,8.562535,-1.299397e-02
3.8,9.037539,-1.503343e-02
3.8,9.512544,-1.381556e-02
3.9,0.487456,-9.121020e-02
3.9,0.962461,-1.384783e-01
